numero;No.;Name;Nickname;Equipo;posicion;Rol;Posicion2;Character Role;Age Group;Enlace1;imagen;emlace2;nombre completo;Anécdota;Columna6;Columna7;Columna8;Columna9;Columna10;Columna11;Columna12;Columna13
1;Evans;Inazuma Eleven;Male;Mountain;GK;Player;Middle School;Grade 8;RaimonInazuma National;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz87P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Pz8_Oz92igg%3D%3D;Mark Evans;Has more passion for football than anyone else.His mighty heart will never give up, no matter what.;?;?;?;?;?;?;×;×
10;Max;Inazuma Eleven;Male;Wind;FW;Player;Middle School;Grade 8;Raimon;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_Pz8bP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Pz8_Gz92igg%3D%3D;Maxwell Carson;A gifted all-rounder who justcan't stay interested for long.;?;?;?;?;?;?;×;×
1000;Dippedes;Inazuma Eleven;Male;Forest;FW;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Py8zP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/c/y/cykw32seo0u.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8vMz92igg%3D%3D;Phil Dippedes;Ran away from the elite Sparta JuniorHigh to transfer here.;?;×;×;;;;;
1001;Lakeman;Inazuma Eleven;Male;Fire;GK;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Py8vP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/a/5/a5nkzvaytyu.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8vLz92igg%3D%3D;Lenny Lakeman;Where others have a fish tank, hishouse has a pond for keeping fish.;?;×;×;;;;;
1002;DeVille;Inazuma Eleven;Male;Wind;DF;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Py8rP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/x/r/xr8r0qmiab8.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8vKz92igg%3D%3D;Vaughn DeVille;Longs to be an entertainer, but hisact never goes down well.;?;×;×;;;;;
1003;Myrddin;Inazuma Eleven;Male;Fire;DF;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Py8nP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/r/-/r-fennta1hm.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8vJz92igg%3D%3D;Arthur Myrddin;He won't attend a game if his tarotreading is bad that day.;?;×;×;;;;;
1004;Forker;Inazuma Eleven;Male;Fire;DF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Py8jP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/g/w/gwu_ky16ysk.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8vIz92igg%3D%3D;Guy Forker;Likes campfires and starts one upat any opportunity.;?;×;×;;;;;
1005;Stretcher;Inazuma Eleven;Male;Forest;FW;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Py8fP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/u/8/u8rn7_2y_tm.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8vHz92igg%3D%3D;Bob Stretcher;Regularly goes to restaurants toorder a single coffee and read.;?;×;×;;;;;
1006;Clutcher;Inazuma Eleven;Male;Wind;FW;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Py8bP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/l/u/luggwaqisek.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8vGz92igg%3D%3D;Spike Clutcher;He often handles the ball becausehe used to play volleyball.;?;×;×;;;;;
1007;Tayssus;Inazuma Eleven;Male;Forest;MF;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pys_P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/l/8/l87lmbzrzye.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rPz92igg%3D%3D;Austin Tayssus;He loves coordinating colorful outfits.But mixing 7 colors? That's a bit much.;?;×;×;;;;;
